,fpr,tpr
781307,0.00762133975130365,1.0
782049,0.0003959611958028113,0.9230769230769231
782057,0.014385692068429238,0.8921859545004945
784243,0.00019920318725099602,1.0
784592,0.0022172949002217295,0.9860724233983287
784791,0.019107142857142857,1.0
784811,0.007138607971445568,0.9359430604982206
785737,0.013272583201267828,0.9460737937559129
788186,0.002814070351758794,0.9661971830985916
788219,0.002368732727990525,0.9516129032258065
788252,0.0,1.0
788445,0.004216020879341498,0.9713375796178344
789943,0.0003999200159968006,0.8421052631578947
790192,0.00039984006397441024,0.9598108747044918
790760,0.0010026067776218166,0.940677966101695
790791,0.029447852760736196,0.9677777777777777
790851,0.000996810207336523,0.9424460431654677
791466,0.018954384503228495,0.9673202614379085
791497,0.004709576138147566,0.9727979274611399
791530,0.001393312101910828,0.8747346072186837
793684,0.013155231734466708,1.0
793783,0.025754372477416874,0.9414255469301341
795052,0.0,1.0
795176,0.01333872271624899,1.0
796375,0.0040436716538617065,0.900516795865633
796462,0.02101651297447995,0.9814385150812065
797822,0.03351836037574722,1.0
797849,0.017655512215150892,0.9567448680351907
798152,0.003639304488475536,0.9732142857142857
798411,0.008967716221602232,1.0
